c1,c2,c1-c2,h1,h2,H1-h2,Phi,H2 adjusted ,H1-h2 adjusted,
-0.36,0.64,-1.00,7.06,9.09,-2.03,-0.17,7.09,-0.03,
-0.37,0.61,-0.98,7.04,9.03,-1.99,-0.17,7.03,0.01,
-0.4,0.61,-1.01,7.0,9.03,-2.04903692163978,-0.171932760893515,7.03,-0.03,
-0.37,0.61,-0.98,7.04,9.03,-1.99,-0.17,7.03,0.01,
-0.39,0.6,-0.99,7.00,9.0,-2.00799712275414,-0.168554646365919,7.0,0,
-0.4,0.54,-0.94,7.0,8.88,-1.90145100555291,-0.159766526398555,6.88,0.12,
-0.44,0.54,-0.98,6.90,8.88,-1.98,-0.17,6.88,0.02,
-0.46,0.5,-0.96,6.86,8.8,-1.93685277588546,-0.162689360339208,6.8,0.06,
-0.37,0.54,-0.91,7.04,8.88,-1.84,-0.15,6.88,0.16,
-0.38,0.45,-0.83,7.02,8.69,-1.67,-0.14,6.69,0.33,
-0.51,0.61,-1.12,6.76,9.03,-2.27,-0.19,7.03,-0.27,
-0.4,0.59,-0.99,7.0,8.98,-2.00686951704353,-0.1684617743968,6.98,0.02,
-0.37,0.59,-0.96,7.04,8.98,-1.95,-0.16,6.98,0.06,
-0.39,0.58,-0.97,7.00,8.96,-1.97,-0.17,6.96,0.04,
-0.36,0.45,-0.81,7.06,8.69,-1.63,-0.14,6.69,0.37,
-0.34,0.6,-0.94,7.10,9.0,-1.9082166398166,-0.160325323773812,7.0,0.1,
-0.29,0.47,-0.76,7.20,8.73,-1.53,-0.13,6.73,0.47,
-0.39,0.46,-0.85,7.00,8.71,-1.71,-0.14,6.71,0.29,
-0.45,0.45,-0.90,6.88,8.69,-1.81,-0.15,6.69,0.19,
-0.42,0.65,-1.07,6.94,9.11,-2.17,-0.18,7.11,-0.17,
-0.39,0.47,-0.86,7.00,8.73,-1.73,-0.15,6.73,0.27,
-0.41,0.54,-0.95,6.96,8.88,-1.92,-0.16,6.88,0.08,
-0.55,0.55,-1.10,6.68,8.90,-2.22,-0.19,6.90,-0.22,
-0.35,0.47,-0.82,7.08,8.73,-1.65,-0.14,6.73,0.35,
-0.42,0.46,-0.88,6.94,8.71,-1.77,-0.15,6.71,0.23,
-0.39,0.53,-0.92,7.00,8.86,-1.86,-0.16,6.86,0.14,
-0.44,0.52,-0.96,6.90,8.84,-1.94,-0.16,6.84,0.06,
-0.43,0.57,-1.00,6.92,8.94,-2.02,-0.17,6.94,-0.02,
-0.35,0.55,-0.90,7.08,8.90,-1.82,-0.15,6.90,0.18,
-0.38,0.41,-0.79,7.02,8.60,-1.59,-0.13,6.60,0.42,
-0.39,0.55,-0.94,7.00,8.90,-1.90,-0.16,6.90,0.10,
-0.38,0.52,-0.90,7.02,8.84,-1.82,-0.15,6.84,0.18,
-0.37,0.56,-0.93,7.04,8.92,-1.88,-0.16,6.92,0.12,
-0.34,0.7,-1.04,7.10,9.2,-2.11905366279784,-0.177686882696778,7.2,-0.1,
-0.42,0.58,-1.00,6.94,8.96,-2.03,-0.17,6.96,-0.02,
-0.42,0.46,-0.88,6.94,8.71,-1.77,-0.15,6.71,0.23,
-0.39,0.63,-1.02,7.00,9.07,-2.07,-0.17,7.07,-0.07,
-0.32,0.64,-0.96,7.14,9.09,-1.95,-0.16,7.09,0.05,
-0.38,0.49,-0.87,7.02,8.77,-1.76,-0.15,6.77,0.25,
-0.32,0.44,-0.76,7.14,8.67,-1.53,-0.13,6.67,0.47,
-0.38,0.65,-1.03,7.02,9.11,-2.09,-0.18,7.11,-0.09,
-0.43,0.52,-0.95,6.92,8.84,-1.92,-0.16,6.84,0.08,
-0.34,0.59,-0.93,7.10,8.98,-1.89,-0.16,6.98,0.12,
-0.39,0.5,-0.89,7.00,8.8,-1.79716009977291,-0.151140238621814,6.8,0.2,
-0.46,0.5,-0.96,6.86,8.8,-1.93685277588546,-0.162689360339208,6.8,0.06,
-0.5,0.43,-0.93,6.8,8.65,-1.86909124614862,-0.157092434421503,6.65,0.15,
-0.46,0.56,-1.02,6.86,8.92,-2.06,-0.17,6.92,-0.06,
-0.39,0.54,-0.93,7.00,8.88,-1.88,-0.16,6.88,0.12,
-0.37,0.51,-0.88,7.04,8.81,-1.78,-0.15,6.81,0.23,
-0.28,0.61,-0.89,7.22,9.03,-1.81,-0.15,7.03,0.19,
-0.42,0.6,-1.02,6.94,9.0,-2.06786541251666,-0.173481272567596,7.0,-0.06,
-0.4,0.63,-1.03,7.0,9.07,-2.09120432623602,-0.17539956832958,7.07,-0.07,
-0.41,0.48,-0.89,6.96,8.75,-1.79,-0.15,6.75,0.21,
-0.22,0.64,-0.86,7.34,9.09,-1.75,-0.15,7.09,0.25,
-0.52,0.49,-1.01,6.74,8.77,-2.04,-0.17,6.77,-0.03,
-0.45,0.53,-0.98,6.88,8.86,-1.98,-0.17,6.86,0.02,
-0.49,0.56,-1.05,6.80,8.92,-2.12,-0.18,6.92,-0.12,
-0.39,0.33,-0.72,7.00,8.43,-1.44,-0.12,6.43,0.57,
-0.55,0.65,-1.20,6.68,9.11,-2.43,-0.20,7.11,-0.43,
-0.51,0.45,-0.96,6.76,8.69,-1.93,-0.16,6.69,0.07,
-0.39,0.53,-0.92,7.00,8.86,-1.86,-0.16,6.86,0.14,
-0.49,0.65,-1.14,6.80,9.11,-2.31,-0.19,7.11,-0.31,
-0.36,0.53,-0.89,7.06,8.86,-1.80,-0.15,6.86,0.20,
-0.32,0.58,-0.90,7.14,8.96,-1.83,-0.15,6.96,0.18,
-0.43,0.46,-0.89,6.92,8.71,-1.79,-0.15,6.71,0.21,
-0.36,0.56,-0.92,7.06,8.92,-1.86,-0.16,6.92,0.14,
-0.52,0.61,-1.13,6.74,9.03,-2.29,-0.19,7.03,-0.29,
-0.38,0.5,-0.88,7.02,8.8,-1.7772040031854,-0.14948696863542,6.8,0.22,
-0.45,0.49,-0.94,6.88,8.77,-1.90,-0.16,6.77,0.11,
-0.39,0.58,-0.97,7.00,8.96,-1.97,-0.17,6.96,0.04,
-0.42,0.53,-0.95,6.94,8.86,-1.92,-0.16,6.86,0.08,
-0.41,0.54,-0.95,6.96,8.88,-1.92,-0.16,6.88,0.08,
-0.3,0.52,-0.82,7.2,8.84,-1.65972263508159,-0.139737763474677,6.84,0.36,
-0.34,0.44,-0.78,7.10,8.67,-1.57,-0.13,6.67,0.43,
-0.46,0.51,-0.97,6.86,8.81,-1.96,-0.16,6.81,0.05,
-0.44,0.62,-1.06,6.90,9.05,-2.15,-0.18,7.05,-0.15,
-0.34,0.4,-0.74,7.10,8.6,-1.48654259385413,-0.125318015214618,6.6,0.5,
-0.4,0.61,-1.01,7.0,9.03,-2.04903692163978,-0.171932760893515,7.03,-0.03,
-0.42,0.55,-0.97,6.94,8.90,-1.96,-0.16,6.90,0.04,
-0.37,0.5,-0.87,7.04,8.8,-1.7572479065979,-0.147832874911654,6.8,0.24,
-0.46,0.63,-1.09,6.86,9.07,-2.21,-0.19,7.07,-0.21,
-0.45,0.55,-1.00,6.88,8.90,-2.02,-0.17,6.90,-0.02,
-0.38,0.57,-0.95,7.02,8.94,-1.92,-0.16,6.94,0.08,
-0.35,0.5,-0.85,7.08,8.8,-1.71733571342288,-0.144522250047047,6.8,0.28,
-0.37,0.48,-0.85,7.04,8.75,-1.72,-0.14,6.75,0.29,
-0.51,0.53,-1.04,6.76,8.86,-2.10,-0.18,6.86,-0.10,
-0.42,0.55,-0.97,6.94,8.90,-1.96,-0.16,6.90,0.04,
-0.41,0.57,-0.98,6.96,8.94,-1.98,-0.17,6.94,0.02,
-0.39,0.41,-0.80,7.00,8.60,-1.61,-0.14,6.60,0.40,
-0.47,0.56,-1.03,6.84,8.92,-2.08,-0.17,6.92,-0.08,
-0.41,0.49,-0.90,6.96,8.77,-1.82,-0.15,6.77,0.19,
-0.32,0.55,-0.87,7.14,8.90,-1.76,-0.15,6.90,0.24,
-0.45,0.49,-0.94,6.88,8.77,-1.90,-0.16,6.77,0.11,
-0.38,0.68,-1.06,7.02,9.17,-2.16,-0.18,7.17,-0.15,
-0.42,0.48,-0.90,6.94,8.75,-1.81,-0.15,6.75,0.19,
-0.39,0.47,-0.86,7.00,8.73,-1.73,-0.15,6.73,0.27,
-0.42,0.55,-0.97,6.94,8.90,-1.96,-0.16,6.90,0.04,
-0.33,0.5,-0.83,7.12,8.8,-1.67742352024787,-0.14120843187856,6.8,0.32,
-0.36,0.49,-0.85,7.06,8.77,-1.72,-0.14,6.77,0.29,
-0.44,0.49,-0.93,6.90,8.77,-1.88,-0.16,6.77,0.13,
-0.37,0.54,-0.91,7.04,8.88,-1.84,-0.15,6.88,0.16,
-0.43,0.49,-0.92,6.92,8.77,-1.86,-0.16,6.77,0.15,
-0.45,0.56,-1.01,6.88,8.92,-2.04,-0.17,6.92,-0.04,
-0.37,0.5,-0.87,7.04,8.8,-1.7572479065979,-0.147832874911654,6.8,0.24,
-0.34,0.48,-0.82,7.10,8.75,-1.66,-0.14,6.75,0.35,
-0.43,0.52,-0.95,6.92,8.84,-1.92,-0.16,6.84,0.08,
-0.38,0.53,-0.91,7.02,8.86,-1.84,-0.15,6.86,0.16,
-0.3,0.56,-0.86,7.2,8.92,-1.74405744427408,-0.146739113790702,6.92,0.28,
-0.51,0.61,-1.12,6.76,9.03,-2.27,-0.19,7.03,-0.27,
-0.4,0.42,-0.82,7.0,8.62,-1.64844657797543,-0.138800580651214,6.62,0.38,
-0.46,0.55,-1.01,6.86,8.90,-2.04,-0.17,6.90,-0.04,
-0.42,0.5,-0.92,6.94,8.8,-1.85702838953543,-0.156095022132249,6.8,0.14,
-0.37,0.58,-0.95,7.04,8.96,-1.93,-0.16,6.96,0.08,
-0.44,0.4,-0.84,6.90,8.6,-1.68610355972921,-0.141929383991672,6.6,0.3,
-0.36,0.46,-0.82,7.06,8.71,-1.65,-0.14,6.71,0.35,
-0.41,0.42,-0.83,6.96,8.62,-1.67,-0.14,6.62,0.34,
-0.39,0.55,-0.94,7.00,8.90,-1.90,-0.16,6.90,0.10,
-0.34,0.6,-0.94,7.10,9.0,-1.9082166398166,-0.160325323773812,7.0,0.1,
-0.32,0.42,-0.74,7.14,8.62,-1.49,-0.13,6.62,0.52,
-0.39,0.54,-0.93,7.00,8.88,-1.88,-0.16,6.88,0.12,
-0.48,0.63,-1.11,6.82,9.07,-2.25,-0.19,7.07,-0.25,
-0.39,0.54,-0.93,7.00,8.88,-1.88,-0.16,6.88,0.12,
-0.39,0.56,-0.95,7.00,8.92,-1.92,-0.16,6.92,0.08,
-0.48,0.53,-1.01,6.82,8.86,-2.04,-0.17,6.86,-0.04,
-0.49,0.57,-1.06,6.80,8.94,-2.14,-0.18,6.94,-0.14,
-0.43,0.46,-0.89,6.92,8.71,-1.79,-0.15,6.71,0.21,
-0.34,0.5,-0.84,7.10,8.8,-1.69737961683537,-0.142865735868966,6.8,0.3,
-0.4,0.52,-0.92,7.0,8.84,-1.85928360095667,-0.156281517212578,6.84,0.16,
-0.45,0.54,-0.99,6.88,8.88,-2.00,-0.17,6.88,0.00,
-0.48,0.6,-1.08,6.82,9.0,-2.18760199204171,-0.183308833219069,7.0,-0.18,
-0.37,0.55,-0.92,7.04,8.90,-1.86,-0.16,6.90,0.14,
-0.47,0.55,-1.02,6.84,8.90,-2.06,-0.17,6.90,-0.06,
-0.34,0.58,-0.92,7.10,8.96,-1.87,-0.16,6.96,0.14,
-0.49,0.39,-0.88,6.80,8.56,-1.76,-0.15,6.56,0.24,
-0.37,0.6,-0.97,7.04,9.0,-1.96808492957913,-0.165265618480813,7.0,0.04,
-0.52,0.49,-1.01,6.74,8.77,-2.04,-0.17,6.77,-0.03,
-0.43,0.51,-0.94,6.92,8.81,-1.90,-0.16,6.81,0.11,
-0.46,0.57,-1.03,6.86,8.94,-2.08,-0.17,6.94,-0.08,
-0.42,0.39,-0.81,6.94,8.56,-1.63,-0.14,6.56,0.38,
-0.37,0.52,-0.89,7.04,8.84,-1.80,-0.15,6.84,0.20,
-0.33,0.51,-0.84,7.12,8.81,-1.70,-0.14,6.81,0.31,
-0.26,0.55,-0.81,7.26,8.90,-1.64,-0.14,6.90,0.36,
-0.51,0.63,-1.14,6.76,9.07,-2.31,-0.19,7.07,-0.31,
-0.28,0.53,-0.81,7.22,8.86,-1.64,-0.14,6.86,0.36,
-0.37,0.52,-0.89,7.04,8.84,-1.80,-0.15,6.84,0.20,
-0.55,0.46,-1.01,6.68,8.71,-2.03,-0.17,6.71,-0.03,
-0.37,0.59,-0.96,7.04,8.98,-1.95,-0.16,6.98,0.06,
-0.46,0.51,-0.97,6.86,8.81,-1.96,-0.16,6.81,0.05,
-0.35,0.38,-0.73,7.08,8.54,-1.46,-0.12,6.54,0.54,
-0.43,0.4,-0.83,6.92,8.6,-1.6661474631417,-0.14027163750003,6.6,0.32,
-0.53,0.51,-1.04,6.72,8.81,-2.10,-0.18,6.81,-0.09,
-0.47,0.63,-1.10,6.84,9.07,-2.23,-0.19,7.07,-0.23,
-0.38,0.5,-0.88,7.02,8.8,-1.7772040031854,-0.14948696863542,6.8,0.22,
-0.42,0.43,-0.85,6.94,8.65,-1.71,-0.14,6.65,0.29,
-0.59,0.5,-1.09,6.60,8.8,-2.19628203152306,-0.184019893925647,6.8,-0.2,
-0.49,0.38,-0.87,6.80,8.54,-1.74,-0.15,6.54,0.26,
-0.48,0.67,-1.15,6.82,9.15,-2.34,-0.20,7.15,-0.33,
-0.41,0.5,-0.91,6.96,8.8,-1.83707229294793,-0.15444427374594,6.8,0.16,
-0.4,0.55,-0.95,7.0,8.90,-1.92253470785104,-0.1615075696922,6.90,0.1,
-0.49,0.39,-0.88,6.80,8.56,-1.76,-0.15,6.56,0.24,
-0.38,0.53,-0.91,7.02,8.86,-1.84,-0.15,6.86,0.16,
-0.44,0.53,-0.97,6.90,8.86,-1.96,-0.16,6.86,0.04,
-0.42,0.44,-0.86,6.94,8.67,-1.73,-0.15,6.67,0.27,
-0.46,0.57,-1.03,6.86,8.94,-2.08,-0.17,6.94,-0.08,
-0.43,0.6,-1.03,6.92,9.0,-2.08782150910417,-0.175121604845683,7.0,-0.08,
-0.32,0.65,-0.97,7.14,9.11,-1.97,-0.17,7.11,0.03,
-0.43,0.58,-1.01,6.92,8.96,-2.05,-0.17,6.96,-0.04,
-0.44,0.5,-0.94,6.90,8.8,-1.89694058271045,-0.159393938877707,6.8,0.1,
-0.41,0.52,-0.93,6.96,8.84,-1.88,-0.16,6.84,0.12,
-0.4,0.64,-1.04,7.0,9.09,-2.11228802853415,-0.177131381239812,7.09,-0.09,
-0.42,0.53,-0.95,6.94,8.86,-1.92,-0.16,6.86,0.08,
-0.5,0.56,-1.06,6.8,8.92,-2.14317937602423,-0.179666852443145,6.92,-0.12,
-0.51,0.63,-1.14,6.76,9.07,-2.31,-0.19,7.07,-0.31,
-0.48,0.43,-0.91,6.82,8.65,-1.83,-0.15,6.65,0.17,
-0.48,0.52,-1.00,6.82,8.84,-2.02,-0.17,6.84,-0.02,
-0.36,0.54,-0.90,7.06,8.88,-1.82,-0.15,6.88,0.18,
-0.39,0.41,-0.80,7.00,8.60,-1.61,-0.14,6.60,0.40,
-0.45,0.5,-0.95,6.88,8.8,-1.91689667929796,-0.161042090648696,6.8,0.08,
-0.41,0.58,-0.99,6.96,8.96,-2.01,-0.17,6.96,0.00,
-0.41,0.61,-1.02,6.96,9.03,-2.07,-0.17,7.03,-0.07,
-0.56,0.52,-1.08,6.66,8.84,-2.18,-0.18,6.84,-0.18,
-0.43,0.53,-0.96,6.92,8.86,-1.94,-0.16,6.86,0.06,
-0.39,0.53,-0.92,7.00,8.86,-1.86,-0.16,6.86,0.14,
-0.35,0.72,-1.07,7.08,9.26,-2.18,-0.18,7.26,-0.18,
-0.34,0.51,-0.85,7.10,8.81,-1.72,-0.14,6.81,0.29,
-0.34,0.55,-0.89,7.10,8.90,-1.80,-0.15,6.90,0.20,
-0.48,0.52,-1.00,6.82,8.84,-2.02,-0.17,6.84,-0.02,
-0.37,0.59,-0.96,7.04,8.98,-1.95,-0.16,6.98,0.06,
-0.36,0.56,-0.92,7.06,8.92,-1.86,-0.16,6.92,0.14,
-0.49,0.46,-0.95,6.80,8.71,-1.91,-0.16,6.71,0.09,
-0.47,0.41,-0.88,6.84,8.60,-1.77,-0.15,6.60,0.24,
-0.4,0.68,-1.08,7.0,9.17,-2.19662283772664,-0.184047808615952,7.17,-0.17,
-0.42,0.45,-0.87,6.94,8.69,-1.75,-0.15,6.69,0.25,
-0.46,0.52,-0.98,6.86,8.84,-1.98,-0.17,6.84,0.02,
-0.37,0.56,-0.93,7.04,8.92,-1.88,-0.16,6.92,0.12,
-0.46,0.5,-0.96,6.86,8.8,-1.93685277588546,-0.162689360339208,6.8,0.06,
-0.27,0.57,-0.84,7.24,8.94,-1.71,-0.14,6.94,0.30,
-0.44,0.55,-0.99,6.90,8.90,-2.00,-0.17,6.90,0.00,
-0.43,0.52,-0.95,6.92,8.84,-1.92,-0.16,6.84,0.08,
-0.46,0.45,-0.91,6.86,8.69,-1.83,-0.15,6.69,0.17,
-0.48,0.55,-1.03,6.82,8.90,-2.08,-0.17,6.90,-0.08,
-0.4,0.5,-0.9,7.0,8.8,-1.8,-0.2,6.8,0.2,
-0.38,0.54,-0.92,7.02,8.88,-1.86,-0.16,6.88,0.14,
-0.39,0.56,-0.95,7.00,8.92,-1.92,-0.16,6.92,0.08,
-0.41,0.6,-1.01,6.96,9.0,-2.04790931592916,-0.171839996699612,7.0,-0.04,
-0.46,0.47,-0.93,6.86,8.73,-1.87,-0.16,6.73,0.13,
-0.37,0.55,-0.92,7.04,8.90,-1.86,-0.16,6.90,0.14,
-0.36,0.53,-0.89,7.06,8.86,-1.80,-0.15,6.86,0.20,
-0.52,0.47,-0.99,6.74,8.73,-1.99,-0.17,6.73,0.01,
-0.47,0.54,-1.01,6.84,8.88,-2.04,-0.17,6.88,-0.04,
-0.36,0.65,-1.01,7.06,9.11,-2.05,-0.17,7.11,-0.05,
-0.38,0.48,-0.86,7.02,8.75,-1.74,-0.15,6.75,0.27,
-0.49,0.48,-0.97,6.80,8.75,-1.95,-0.16,6.75,0.05,
-0.37,0.58,-0.95,7.04,8.96,-1.93,-0.16,6.96,0.08,
-0.46,0.63,-1.09,6.86,9.07,-2.21,-0.19,7.07,-0.21,
-0.37,0.51,-0.88,7.04,8.81,-1.78,-0.15,6.81,0.23,
-0.44,0.4,-0.84,6.90,8.6,-1.68610355972921,-0.141929383991672,6.6,0.3,
-0.41,0.42,-0.83,6.96,8.62,-1.67,-0.14,6.62,0.34,
-0.48,0.63,-1.11,6.82,9.07,-2.25,-0.19,7.07,-0.25,
-0.32,0.54,-0.86,7.14,8.88,-1.74,-0.15,6.88,0.26,
-0.4,0.42,-0.82,7.0,8.62,-1.64844657797543,-0.138800580651214,6.62,0.38,
-0.46,0.54,-1.00,6.86,8.88,-2.02,-0.17,6.88,-0.02,
-0.42,0.54,-0.96,6.94,8.88,-1.94,-0.16,6.88,0.06,
-0.47,0.52,-0.99,6.84,8.84,-2.00,-0.17,6.84,0.00,
-0.46,0.51,-0.97,6.86,8.81,-1.96,-0.16,6.81,0.05,
-0.41,0.62,-1.03,6.96,9.05,-2.09,-0.18,7.05,-0.09,
-0.36,0.61,-0.97,7.06,9.03,-1.97,-0.17,7.03,0.03,
-0.43,0.51,-0.94,6.92,8.81,-1.90,-0.16,6.81,0.11,
-0.44,0.51,-0.95,6.90,8.81,-1.92,-0.16,6.81,0.09,
-0.42,0.53,-0.95,6.94,8.86,-1.92,-0.16,6.86,0.08,
-0.41,0.54,-0.95,6.96,8.88,-1.92,-0.16,6.88,0.08,
-0.39,0.64,-1.03,7.00,9.09,-2.09,-0.18,7.09,-0.09,
-0.49,0.42,-0.91,6.80,8.62,-1.83,-0.15,6.62,0.18,
-0.38,0.52,-0.90,7.02,8.84,-1.82,-0.15,6.84,0.18,
-0.38,0.6,-0.98,7.02,9.0,-1.98804102616663,-0.166910588059365,7.0,0.02,
-0.42,0.52,-0.94,6.94,8.84,-1.90,-0.16,6.84,0.10,
-0.36,0.54,-0.90,7.06,8.88,-1.82,-0.15,6.88,0.18,
-0.45,0.49,-0.94,6.88,8.77,-1.90,-0.16,6.77,0.11,
-0.2,0.51,-0.71,7.4,8.81,-1.43907796690839,-0.121356474427931,6.81,0.59,
-0.41,0.44,-0.85,6.96,8.67,-1.71,-0.14,6.67,0.29,
-0.36,0.47,-0.83,7.06,8.73,-1.67,-0.14,6.73,0.33,
-0.42,0.58,-1.00,6.94,8.96,-2.03,-0.17,6.96,-0.02,
-0.38,0.52,-0.90,7.02,8.84,-1.82,-0.15,6.84,0.18,
-0.33,0.54,-0.87,7.12,8.88,-1.76,-0.15,6.88,0.24,
-0.43,0.44,-0.87,6.92,8.67,-1.75,-0.15,6.67,0.25,
-0.38,0.6,-0.98,7.02,9.0,-1.98804102616663,-0.166910588059365,7.0,0.02,
-0.38,0.61,-0.99,7.02,9.03,-2.01,-0.17,7.03,-0.01,
-0.38,0.44,-0.82,7.02,8.67,-1.65,-0.14,6.67,0.35,
-0.53,0.59,-1.12,6.72,8.98,-2.27,-0.19,6.98,-0.26,
-0.4,0.53,-0.93,7.0,8.86,-1.88036730325479,-0.15802450565259,6.86,0.14,
-0.39,0.71,-1.10,7.00,9.24,-2.24,-0.19,7.24,-0.24,
-0.5,0.45,-0.95,6.8,8.69,-1.91125865074487,-0.160576541198715,6.69,0.11,
-0.29,0.5,-0.79,7.20,8.8,-1.59759913389784,-0.134571489081964,6.8,0.4,
-0.37,0.54,-0.91,7.04,8.88,-1.84,-0.15,6.88,0.16,
-0.33,0.48,-0.81,7.12,8.75,-1.64,-0.14,6.75,0.37,
-0.4,0.51,-0.91,7.0,8.81,-1.83819989865854,-0.154537570871157,6.81,0.19,
-0.51,0.6,-1.11,6.76,9.0,-2.24747028180423,-0.188209339396608,7.0,-0.24,
-0.41,0.59,-1.00,6.96,8.98,-2.03,-0.17,6.98,-0.02,
-0.42,0.52,-0.94,6.94,8.84,-1.90,-0.16,6.84,0.10,
-0.37,0.58,-0.95,7.04,8.96,-1.93,-0.16,6.96,0.08,
-0.39,0.59,-0.98,7.00,8.98,-1.99,-0.17,6.98,0.02,
-0.35,0.47,-0.82,7.08,8.73,-1.65,-0.14,6.73,0.35,
-0.38,0.43,-0.81,7.02,8.65,-1.63,-0.14,6.65,0.37,
-0.4,0.6,-1.0,7.0,9.0,-2.0,-0.2,7.0,0.0,
-0.37,0.52,-0.89,7.04,8.84,-1.80,-0.15,6.84,0.20,
-0.38,0.61,-0.99,7.02,9.03,-2.01,-0.17,7.03,-0.01,
-0.42,0.54,-0.96,6.94,8.88,-1.94,-0.16,6.88,0.06,
-0.42,0.52,-0.94,6.94,8.84,-1.90,-0.16,6.84,0.10,
-0.43,0.55,-0.98,6.92,8.90,-1.98,-0.17,6.90,0.02,
-0.38,0.49,-0.87,7.02,8.77,-1.76,-0.15,6.77,0.25,
-0.38,0.53,-0.91,7.02,8.86,-1.84,-0.15,6.86,0.16,
-0.44,0.46,-0.90,6.90,8.71,-1.81,-0.15,6.71,0.19,
-0.4,0.45,-0.85,7.0,8.69,-1.7116976848698,-0.144054329536712,6.69,0.31,
-0.41,0.4,-0.81,6.96,8.6,-1.62623526996669,-0.136953823820746,6.6,0.36,
-0.42,0.54,-0.96,6.94,8.88,-1.94,-0.16,6.88,0.06,
-0.44,0.63,-1.07,6.90,9.07,-2.17,-0.18,7.07,-0.17,
-0.22,0.55,-0.77,7.34,8.90,-1.56,-0.13,6.90,0.44,
-0.5,0.61,-1.11,6.8,9.03,-2.24859788751485,-0.18830155237139,7.03,-0.23,
-0.39,0.4,-0.79,7.00,8.6,-1.58632307679167,-0.133632973237218,6.6,0.4,
-0.41,0.44,-0.85,6.96,8.67,-1.71,-0.14,6.67,0.29,
-0.32,0.46,-0.78,7.14,8.71,-1.57,-0.13,6.71,0.43,
-0.32,0.59,-0.91,7.14,8.98,-1.85,-0.16,6.98,0.16,
-0.43,0.45,-0.88,6.92,8.69,-1.77,-0.15,6.69,0.23,
-0.37,0.46,-0.83,7.04,8.71,-1.67,-0.14,6.71,0.33,
-0.5,0.56,-1.06,6.8,8.92,-2.14317937602423,-0.179666852443145,6.92,-0.12,
-0.41,0.57,-0.98,6.96,8.94,-1.98,-0.17,6.94,0.02,
-0.5,0.54,-1.04,6.8,8.88,-2.10101197142798,-0.176205300078292,6.88,-0.08,
-0.44,0.58,-1.02,6.90,8.96,-2.07,-0.17,6.96,-0.06,
-0.4,0.48,-0.88,7.0,8.75,-1.77494879176417,-0.149300082874143,6.75,0.25,
-0.42,0.56,-0.98,6.94,8.92,-1.98,-0.17,6.92,0.02,
-0.45,0.63,-1.08,6.88,9.07,-2.19,-0.18,7.07,-0.19,
-0.46,0.56,-1.02,6.86,8.92,-2.06,-0.17,6.92,-0.06,
-0.51,0.48,-0.99,6.76,8.75,-1.99,-0.17,6.75,0.01,
-0.39,0.65,-1.04,7.00,9.11,-2.11,-0.18,7.11,-0.11,
-0.48,0.58,-1.06,6.82,8.96,-2.15,-0.18,6.96,-0.14,
-0.48,0.42,-0.90,6.82,8.62,-1.81,-0.15,6.62,0.20,
-0.46,0.48,-0.94,6.86,8.75,-1.89,-0.16,6.75,0.11,
-0.43,0.57,-1.00,6.92,8.94,-2.02,-0.17,6.94,-0.02,
-0.44,0.51,-0.95,6.90,8.81,-1.92,-0.16,6.81,0.09,
-0.38,0.52,-0.90,7.02,8.84,-1.82,-0.15,6.84,0.18,
-0.44,0.48,-0.92,6.90,8.75,-1.85,-0.16,6.75,0.15,
-0.39,0.57,-0.96,7.00,8.94,-1.94,-0.16,6.94,0.06,
-0.35,0.56,-0.91,7.08,8.92,-1.84,-0.16,6.92,0.16,
-0.32,0.4,-0.72,7.14,8.6,-1.44663040067912,-0.121987082712664,6.6,0.54,
-0.42,0.49,-0.91,6.94,8.77,-1.84,-0.15,6.77,0.17,
-0.49,0.52,-1.01,6.80,8.84,-2.04,-0.17,6.84,-0.04,
-0.32,0.48,-0.80,7.14,8.75,-1.62,-0.14,6.75,0.39,
-0.38,0.47,-0.85,7.02,8.73,-1.71,-0.14,6.73,0.29,
-0.42,0.55,-0.97,6.94,8.90,-1.96,-0.16,6.90,0.04,
-0.6,0.61,-1.21,6.6,9.03,-2.44815885338993,-0.204568870077391,7.03,-0.43,
-0.34,0.61,-0.95,7.10,9.03,-1.93,-0.16,7.03,0.07,
-0.53,0.67,-1.20,6.72,9.15,-2.43,-0.20,7.15,-0.43,
-0.46,0.49,-0.95,6.86,8.77,-1.92,-0.16,6.77,0.09,
-0.44,0.47,-0.91,6.90,8.73,-1.83,-0.15,6.73,0.17,
-0.47,0.5,-0.97,6.84,8.8,-1.95680887247297,-0.164335739724679,6.8,0.04,
-0.35,0.56,-0.91,7.08,8.92,-1.84,-0.16,6.92,0.16,
-0.31,0.45,-0.76,7.16,8.69,-1.53,-0.13,6.69,0.47,
-0.42,0.52,-0.94,6.94,8.84,-1.90,-0.16,6.84,0.10,
-0.38,0.4,-0.78,7.02,8.6,-1.56636698020416,-0.131971430707592,6.6,0.42,
-0.37,0.57,-0.94,7.04,8.94,-1.90,-0.16,6.94,0.10,
-0.46,0.42,-0.88,6.86,8.62,-1.77,-0.15,6.62,0.24,
-0.41,0.56,-0.97,6.96,8.92,-1.96,-0.16,6.92,0.04,
-0.49,0.49,-0.98,6.80,8.77,-1.98,-0.17,6.77,0.03,
-0.36,0.62,-0.98,7.06,9.05,-1.99,-0.17,7.05,0.01,
-0.4,0.52,-0.92,7.0,8.84,-1.85928360095667,-0.156281517212578,6.84,0.16,
